"variable","iteration","chain","mean"
"smoke","4","Chain 13",1.88679245283019
"cycle","4","Chain 13",NA
"stratum","4","Chain 13",NA
"psu","4","Chain 13",NA
"logweight","4","Chain 13",NA
"ra","5","Chain 13",NA
"asthma_aux","5","Chain 13",NA
"age1","5","Chain 13",NA
"age2","5","Chain 13",NA
"age3","5","Chain 13",NA
"sex","5","Chain 13",NA
"race","5","Chain 13",NA
"education","5","Chain 13",1
"pir","5","Chain 13",4.80184035951209
"smoke","5","Chain 13",1
"cycle","5","Chain 13",NA
"stratum","5","Chain 13",NA
"psu","5","Chain 13",NA
"logweight","5","Chain 13",NA
"ra","6","Chain 13",NA
"asthma_aux","6","Chain 13",NA
"age1","6","Chain 13",NA
"age2","6","Chain 13",NA
"age3","6","Chain 13",NA
"sex","6","Chain 13",NA
"race","6","Chain 13",NA
"education","6","Chain 13",4.96511627906977
"pir","6","Chain 13",0.769625508238829
"smoke","6","Chain 13",1
"cycle","6","Chain 13",NA
"stratum","6","Chain 13",NA
"psu","6","Chain 13",NA
"logweight","6","Chain 13",NA
"ra","7","Chain 13",NA
"asthma_aux","7","Chain 13",NA
"age1","7","Chain 13",NA
"age2","7","Chain 13",NA
"age3","7","Chain 13",NA
"sex","7","Chain 13",NA
"race","7","Chain 13",NA
"education","7","Chain 13",5
"pir","7","Chain 13",0.763445324202876
"smoke","7","Chain 13",2.07547169811321
"cycle","7","Chain 13",NA
"stratum","7","Chain 13",NA
"psu","7","Chain 13",NA
"logweight","7","Chain 13",NA
"ra","8","Chain 13",NA
"asthma_aux","8","Chain 13",NA
"age1","8","Chain 13",NA
"age2","8","Chain 13",NA
"age3","8","Chain 13",NA
"sex","8","Chain 13",NA
"race","8","Chain 13",NA
"education","8","Chain 13",5
"pir","8","Chain 13",4.80590627006206
"smoke","8","Chain 13",1.73584905660377
"cycle","8","Chain 13",NA
"stratum","8","Chain 13",NA
"psu","8","Chain 13",NA
"logweight","8","Chain 13",NA
"ra","9","Chain 13",NA
"asthma_aux","9","Chain 13",NA
"age1","9","Chain 13",NA
"age2","9","Chain 13",NA
"age3","9","Chain 13",NA
"sex","9","Chain 13",NA
"race","9","Chain 13",NA
"education","9","Chain 13",2.17441860465116
"pir","9","Chain 13",3.14251658463512
"smoke","9","Chain 13",1.84905660377358
"cycle","9","Chain 13",NA
"stratum","9","Chain 13",NA
"psu","9","Chain 13",NA
"logweight","9","Chain 13",NA
"ra","10","Chain 13",NA
"asthma_aux","10","Chain 13",NA
"age1","10","Chain 13",NA
"age2","10","Chain 13",NA
"age3","10","Chain 13",NA
"sex","10","Chain 13",NA
"race","10","Chain 13",NA
"education","10","Chain 13",1.22093023255814
"pir","10","Chain 13",2.43800984378338
"smoke","10","Chain 13",1
"cycle","10","Chain 13",NA
"stratum","10","Chain 13",NA
"psu","10","Chain 13",NA
"logweight","10","Chain 13",NA
"ra","1","Chain 14",NA
"asthma_aux","1","Chain 14",NA
"age1","1","Chain 14",NA
"age2","1","Chain 14",NA
"age3","1","Chain 14",NA
"sex","1","Chain 14",NA
"race","1","Chain 14",NA
"education","1","Chain 14",2.02325581395349
"pir","1","Chain 14",0.820680505028902
"smoke","1","Chain 14",1
"cycle","1","Chain 14",NA
"stratum","1","Chain 14",NA
"psu","1","Chain 14",NA
"logweight","1","Chain 14",NA
"ra","2","Chain 14",NA
"asthma_aux","2","Chain 14",NA
"age1","2","Chain 14",NA
"age2","2","Chain 14",NA
"age3","2","Chain 14",NA
"sex","2","Chain 14",NA
"race","2","Chain 14",NA
"education","2","Chain 14",1.17441860465116
"pir","2","Chain 14",0.760838861545057
"smoke","2","Chain 14",1.71698113207547
"cycle","2","Chain 14",NA
"stratum","2","Chain 14",NA
"psu","2","Chain 14",NA
"logweight","2","Chain 14",NA
"ra","3","Chain 14",NA
"asthma_aux","3","Chain 14",NA
"age1","3","Chain 14",NA
"age2","3","Chain 14",NA
"age3","3","Chain 14",NA
"sex","3","Chain 14",NA
"race","3","Chain 14",NA
"education","3","Chain 14",1
"pir","3","Chain 14",4.80228332976674
"smoke","3","Chain 14",1
"cycle","3","Chain 14",NA
"stratum","3","Chain 14",NA
"psu","3","Chain 14",NA
"logweight","3","Chain 14",NA
"ra","4","Chain 14",NA
"asthma_aux","4","Chain 14",NA
"age1","4","Chain 14",NA
"age2","4","Chain 14",NA
"age3","4","Chain 14",NA
"sex","4","Chain 14",NA
"race","4","Chain 14",NA
"education","4","Chain 14",1.80232558139535
"pir","4","Chain 14",0.758692488765256
"smoke","4","Chain 14",1
"cycle","4","Chain 14",NA
"stratum","4","Chain 14",NA
"psu","4","Chain 14",NA
"logweight","4","Chain 14",NA
"ra","5","Chain 14",NA
"asthma_aux","5","Chain 14",NA
"age1","5","Chain 14",NA
"age2","5","Chain 14",NA
"age3","5","Chain 14",NA
"sex","5","Chain 14",NA
"race","5","Chain 14",NA
"education","5","Chain 14",1.22093023255814
"pir","5","Chain 14",4.77322918895784
"smoke","5","Chain 14",1
"cycle","5","Chain 14",NA
"stratum","5","Chain 14",NA
"psu","5","Chain 14",NA
"logweight","5","Chain 14",NA
"ra","6","Chain 14",NA
"asthma_aux","6","Chain 14",NA
"age1","6","Chain 14",NA
"age2","6","Chain 14",NA
"age3","6","Chain 14",NA
"sex","6","Chain 14",NA
"race","6","Chain 14",NA
"education","6","Chain 14",1.94186046511628
"pir","6","Chain 14",0.766145944789221
"smoke","6","Chain 14",1
"cycle","6","Chain 14",NA
"stratum","6","Chain 14",NA
"psu","6","Chain 14",NA
"logweight","6","Chain 14",NA
"ra","7","Chain 14",NA
"asthma_aux","7","Chain 14",NA
"age1","7","Chain 14",NA
"age2","7","Chain 14",NA
"age3","7","Chain 14",NA
"sex","7","Chain 14",NA
"race","7","Chain 14",NA
"education","7","Chain 14",3.97674418604651
"pir","7","Chain 14",0.770967258720318
"smoke","7","Chain 14",1
"cycle","7","Chain 14",NA
"stratum","7","Chain 14",NA
"psu","7","Chain 14",NA
"logweight","7","Chain 14",NA
"ra","8","Chain 14",NA
"asthma_aux","8","Chain 14",NA
"age1","8","Chain 14",NA
"age2","8","Chain 14",NA
"age3","8","Chain 14",NA
"sex","8","Chain 14",NA
"race","8","Chain 14",NA
"education","8","Chain 14",4.96511627906977
"pir","8","Chain 14",4.79734645837792
"smoke","8","Chain 14",1.86792452830189
"cycle","8","Chain 14",NA
"stratum","8","Chain 14",NA
"psu","8","Chain 14",NA
"logweight","8","Chain 14",NA
"ra","9","Chain 14",NA
"asthma_aux","9","Chain 14",NA
"age1","9","Chain 14",NA
"age2","9","Chain 14",NA
"age3","9","Chain 14",NA
"sex","9","Chain 14",NA
"race","9","Chain 14",NA
"education","9","Chain 14",1.96511627906977
"pir","9","Chain 14",0.830836721592131
"smoke","9","Chain 14",1
"cycle","9","Chain 14",NA
"stratum","9","Chain 14",NA
"psu","9","Chain 14",NA
"logweight","9","Chain 14",NA
"ra","10","Chain 14",NA
"asthma_aux","10","Chain 14",NA
"age1","10","Chain 14",NA
"age2","10","Chain 14",NA
"age3","10","Chain 14",NA
"sex","10","Chain 14",NA
"race","10","Chain 14",NA
"education","10","Chain 14",5
"pir","10","Chain 14",0.770055638775954
"smoke","10","Chain 14",1.92452830188679
"cycle","10","Chain 14",NA
"stratum","10","Chain 14",NA
"psu","10","Chain 14",NA
"logweight","10","Chain 14",NA
"ra","1","Chain 15",NA
"asthma_aux","1","Chain 15",NA
"age1","1","Chain 15",NA
"age2","1","Chain 15",NA
"age3","1","Chain 15",NA
"sex","1","Chain 15",NA
"race","1","Chain 15",NA
"education","1","Chain 15",1.26744186046512
"pir","1","Chain 15",0.761870318852994
"smoke","1","Chain 15",1
"cycle","1","Chain 15",NA
"stratum","1","Chain 15",NA
"psu","1","Chain 15",NA
"logweight","1","Chain 15",NA
"ra","2","Chain 15",NA
"asthma_aux","2","Chain 15",NA
"age1","2","Chain 15",NA
"age2","2","Chain 15",NA
"age3","2","Chain 15",NA
"sex","2","Chain 15",NA
"race","2","Chain 15",NA
"education","2","Chain 15",5
"pir","2","Chain 15",4.81211213353306
"smoke","2","Chain 15",1.77358490566038
"cycle","2","Chain 15",NA
"stratum","2","Chain 15",NA
"psu","2","Chain 15",NA
"logweight","2","Chain 15",NA
"ra","3","Chain 15",NA
"asthma_aux","3","Chain 15",NA
"age1","3","Chain 15",NA
"age2","3","Chain 15",NA
"age3","3","Chain 15",NA
"sex","3","Chain 15",NA
"race","3","Chain 15",NA
"education","3","Chain 15",5
"pir","3","Chain 15",4.80205435480419
"smoke","3","Chain 15",1.77358490566038
"cycle","3","Chain 15",NA
"stratum","3","Chain 15",NA
"psu","3","Chain 15",NA
"logweight","3","Chain 15",NA
"ra","4","Chain 15",NA
"asthma_aux","4","Chain 15",NA
"age1","4","Chain 15",NA
"age2","4","Chain 15",NA
"age3","4","Chain 15",NA
"sex","4","Chain 15",NA
"race","4","Chain 15",NA
"education","4","Chain 15",1.86046511627907
"pir","4","Chain 15",0.766276481917407
"smoke","4","Chain 15",2.32075471698113
"cycle","4","Chain 15",NA
"stratum","4","Chain 15",NA
"psu","4","Chain 15",NA
"logweight","4","Chain 15",NA
"ra","5","Chain 15",NA
"asthma_aux","5","Chain 15",NA
"age1","5","Chain 15",NA
"age2","5","Chain 15",NA
"age3","5","Chain 15",NA
"sex","5","Chain 15",NA
"race","5","Chain 15",NA
"education","5","Chain 15",1.25581395348837
"pir","5","Chain 15",4.79606248662529
"smoke","5","Chain 15",1
"cycle","5","Chain 15",NA
"stratum","5","Chain 15",NA
"psu","5","Chain 15",NA
"logweight","5","Chain 15",NA
"ra","6","Chain 15",NA
"asthma_aux","6","Chain 15",NA
"age1","6","Chain 15",NA
"age2","6","Chain 15",NA
"age3","6","Chain 15",NA
"sex","6","Chain 15",NA
"race","6","Chain 15",NA
"education","6","Chain 15",2.05813953488372
"pir","6","Chain 15",2.56523004493895
"smoke","6","Chain 15",1.90566037735849
"cycle","6","Chain 15",NA
"stratum","6","Chain 15",NA
"psu","6","Chain 15",NA
"logweight","6","Chain 15",NA
"ra","7","Chain 15",NA
"asthma_aux","7","Chain 15",NA
"age1","7","Chain 15",NA
"age2","7","Chain 15",NA
"age3","7","Chain 15",NA
"sex","7","Chain 15",NA
"race","7","Chain 15",NA
"education","7","Chain 15",5
"pir","7","Chain 15",4.78835865610957
"smoke","7","Chain 15",1.58490566037736
"cycle","7","Chain 15",NA
"stratum","7","Chain 15",NA
"psu","7","Chain 15",NA
"logweight","7","Chain 15",NA
"ra","8","Chain 15",NA
"asthma_aux","8","Chain 15",NA
"age1","8","Chain 15",NA
"age2","8","Chain 15",NA
"age3","8","Chain 15",NA
"sex","8","Chain 15",NA
"race","8","Chain 15",NA
"education","8","Chain 15",1.82558139534884
"pir","8","Chain 15",0.766571795420509
"smoke","8","Chain 15",1
"cycle","8","Chain 15",NA
"stratum","8","Chain 15",NA
"psu","8","Chain 15",NA
"logweight","8","Chain 15",NA
"ra","9","Chain 15",NA
"asthma_aux","9","Chain 15",NA
"age1","9","Chain 15",NA
"age2","9","Chain 15",NA
"age3","9","Chain 15",NA
"sex","9","Chain 15",NA
"race","9","Chain 15",NA
"education","9","Chain 15",1
"pir","9","Chain 15",0.770068478493485
"smoke","9","Chain 15",1.9622641509434
"cycle","9","Chain 15",NA
"stratum","9","Chain 15",NA
"psu","9","Chain 15",NA
"logweight","9","Chain 15",NA
"ra","10","Chain 15",NA
"asthma_aux","10","Chain 15",NA
"age1","10","Chain 15",NA
"age2","10","Chain 15",NA
"age3","10","Chain 15",NA
"sex","10","Chain 15",NA
"race","10","Chain 15",NA
"education","10","Chain 15",1
"pir","10","Chain 15",4.6413224909052
"smoke","10","Chain 15",1
"cycle","10","Chain 15",NA
"stratum","10","Chain 15",NA
"psu","10","Chain 15",NA
"logweight","10","Chain 15",NA
"ra","1","Chain 16",NA
"asthma_aux","1","Chain 16",NA
"age1","1","Chain 16",NA
"age2","1","Chain 16",NA
"age3","1","Chain 16",NA
"sex","1","Chain 16",NA
"race","1","Chain 16",NA
"education","1","Chain 16",1.17441860465116
"pir","1","Chain 16",2.86637919965756
"smoke","1","Chain 16",1.94339622641509
"cycle","1","Chain 16",NA
"stratum","1","Chain 16",NA
"psu","1","Chain 16",NA
"logweight","1","Chain 16",NA
"ra","2","Chain 16",NA
"asthma_aux","2","Chain 16",NA
"age1","2","Chain 16",NA
"age2","2","Chain 16",NA
"age3","2","Chain 16",NA
"sex","2","Chain 16",NA
"race","2","Chain 16",NA
"education","2","Chain 16",4.55813953488372
"pir","2","Chain 16",0.77252300449391
"smoke","2","Chain 16",1
"cycle","2","Chain 16",NA
"stratum","2","Chain 16",NA
"psu","2","Chain 16",NA
"logweight","2","Chain 16",NA
"ra","3","Chain 16",NA
"asthma_aux","3","Chain 16",NA
"age1","3","Chain 16",NA
"age2","3","Chain 16",NA
"age3","3","Chain 16",NA
"sex","3","Chain 16",NA
"race","3","Chain 16",NA
"education","3","Chain 16",2.51162790697674
"pir","3","Chain 16",4.79156858549112
"smoke","3","Chain 16",1
"cycle","3","Chain 16",NA
"stratum","3","Chain 16",NA
"psu","3","Chain 16",NA
"logweight","3","Chain 16",NA
"ra","4","Chain 16",NA
"asthma_aux","4","Chain 16",NA
"age1","4","Chain 16",NA
"age2","4","Chain 16",NA
"age3","4","Chain 16",NA
"sex","4","Chain 16",NA
"race","4","Chain 16",NA
"education","4","Chain 16",2.06976744186047
"pir","4","Chain 16",4.80012839717526
"smoke","4","Chain 16",1
"cycle","4","Chain 16",NA
"stratum","4","Chain 16",NA
"psu","4","Chain 16",NA
"logweight","4","Chain 16",NA
"ra","5","Chain 16",NA
"asthma_aux","5","Chain 16",NA
"age1","5","Chain 16",NA
"age2","5","Chain 16",NA
"age3","5","Chain 16",NA
"sex","5","Chain 16",NA
"race","5","Chain 16",NA
"education","5","Chain 16",2.17441860465116
"pir","5","Chain 16",0.774027391397399
"smoke","5","Chain 16",1
"cycle","5","Chain 16",NA
"stratum","5","Chain 16",NA
"psu","5","Chain 16",NA
"logweight","5","Chain 16",NA
"ra","6","Chain 16",NA
"asthma_aux","6","Chain 16",NA
"age1","6","Chain 16",NA
"age2","6","Chain 16",NA
"age3","6","Chain 16",NA
"sex","6","Chain 16",NA
"race","6","Chain 16",NA
"education","6","Chain 16",1
"pir","6","Chain 16",1.39720094157928
"smoke","6","Chain 16",1.94339622641509
"cycle","6","Chain 16",NA
"stratum","6","Chain 16",NA
"psu","6","Chain 16",NA
"logweight","6","Chain 16",NA
"ra","7","Chain 16",NA
"asthma_aux","7","Chain 16",NA
"age1","7","Chain 16",NA
"age2","7","Chain 16",NA
"age3","7","Chain 16",NA
"sex","7","Chain 16",NA
"race","7","Chain 16",NA
"education","7","Chain 16",1
"pir","7","Chain 16",0.849937941365299
"smoke","7","Chain 16",2.09433962264151
"cycle","7","Chain 16",NA
"stratum","7","Chain 16",NA
"psu","7","Chain 16",NA
"logweight","7","Chain 16",NA
"ra","8","Chain 16",NA
"asthma_aux","8","Chain 16",NA
"age1","8","Chain 16",NA
"age2","8","Chain 16",NA
"age3","8","Chain 16",NA
"sex","8","Chain 16",NA
"race","8","Chain 16",NA
"education","8","Chain 16",1.63953488372093
"pir","8","Chain 16",4.7962764819174
"smoke","8","Chain 16",1.71698113207547
"cycle","8","Chain 16",NA
"stratum","8","Chain 16",NA
"psu","8","Chain 16",NA
"logweight","8","Chain 16",NA
"ra","9","Chain 16",NA
"asthma_aux","9","Chain 16",NA
"age1","9","Chain 16",NA
"age2","9","Chain 16",NA
"age3","9","Chain 16",NA
"sex","9","Chain 16",NA
"race","9","Chain 16",NA
"education","9","Chain 16",2.32558139534884
"pir","9","Chain 16",4.76886796490477
"smoke","9","Chain 16",1
"cycle","9","Chain 16",NA
"stratum","9","Chain 16",NA
"psu","9","Chain 16",NA
"logweight","9","Chain 16",NA
"ra","10","Chain 16",NA
"asthma_aux","10","Chain 16",NA
"age1","10","Chain 16",NA
"age2","10","Chain 16",NA
"age3","10","Chain 16",NA
"sex","10","Chain 16",NA
"race","10","Chain 16",NA
"education","10","Chain 16",2.01162790697674
"pir","10","Chain 16",0.77423710678366
"smoke","10","Chain 16",1.94339622641509
"cycle","10","Chain 16",NA
"stratum","10","Chain 16",NA
"psu","10","Chain 16",NA
"logweight","10","Chain 16",NA
"ra","1","Chain 17",NA
"asthma_aux","1","Chain 17",NA
"age1","1","Chain 17",NA
"age2","1","Chain 17",NA
"age3","1","Chain 17",NA
"sex","1","Chain 17",NA
"race","1","Chain 17",NA
"education","1","Chain 17",1.2093023255814
"pir","1","Chain 17",0.767412796918477
"smoke","1","Chain 17",2.11320754716981
"cycle","1","Chain 17",NA
"stratum","1","Chain 17",NA
"psu","1","Chain 17",NA
"logweight","1","Chain 17",NA
"ra","2","Chain 17",NA
"asthma_aux","2","Chain 17",NA
"age1","2","Chain 17",NA
"age2","2","Chain 17",NA
"age3","2","Chain 17",NA
"sex","2","Chain 17",NA
"race","2","Chain 17",NA
"education","2","Chain 17",5
"pir","2","Chain 17",4.7957372137813
"smoke","2","Chain 17",1
"cycle","2","Chain 17",NA
"stratum","2","Chain 17",NA
"psu","2","Chain 17",NA
"logweight","2","Chain 17",NA
"ra","3","Chain 17",NA
"asthma_aux","3","Chain 17",NA
"age1","3","Chain 17",NA
"age2","3","Chain 17",NA
"age3","3","Chain 17",NA
"sex","3","Chain 17",NA
"race","3","Chain 17",NA
"education","3","Chain 17",5
"pir","3","Chain 17",0.773381125615245
"smoke","3","Chain 17",1
"cycle","3","Chain 17",NA
"stratum","3","Chain 17",NA
"psu","3","Chain 17",NA
"logweight","3","Chain 17",NA
"ra","4","Chain 17",NA
"asthma_aux","4","Chain 17",NA
"age1","4","Chain 17",NA
"age2","4","Chain 17",NA
"age3","4","Chain 17",NA
"sex","4","Chain 17",NA
"race","4","Chain 17",NA
"education","4","Chain 17",2.81395348837209
"pir","4","Chain 17",0.773627220201166
"smoke","4","Chain 17",1
"cycle","4","Chain 17",NA
"stratum","4","Chain 17",NA
"psu","4","Chain 17",NA
"logweight","4","Chain 17",NA
"ra","5","Chain 17",NA
"asthma_aux","5","Chain 17",NA
"age1","5","Chain 17",NA
"age2","5","Chain 17",NA
"age3","5","Chain 17",NA
"sex","5","Chain 17",NA
"race","5","Chain 17",NA
"education","5","Chain 17",5
"pir","5","Chain 17",4.80291033597261
"smoke","5","Chain 17",1.9622641509434
"cycle","5","Chain 17",NA
"stratum","5","Chain 17",NA
"psu","5","Chain 17",NA
"logweight","5","Chain 17",NA
"ra","6","Chain 17",NA
"asthma_aux","6","Chain 17",NA
"age1","6","Chain 17",NA
"age2","6","Chain 17",NA
"age3","6","Chain 17",NA
"sex","6","Chain 17",NA
"race","6","Chain 17",NA
"education","6","Chain 17",1.84883720930233
"pir","6","Chain 17",0.771399529210367
"smoke","6","Chain 17",1
"cycle","6","Chain 17",NA
"stratum","6","Chain 17",NA
"psu","6","Chain 17",NA
"logweight","6","Chain 17",NA
"ra","7","Chain 17",NA
"asthma_aux","7","Chain 17",NA
"age1","7","Chain 17",NA
"age2","7","Chain 17",NA
"age3","7","Chain 17",NA
"sex","7","Chain 17",NA
"race","7","Chain 17",NA
"education","7","Chain 17",4.82558139534884
"pir","7","Chain 17",0.778735287823676
"smoke","7","Chain 17",2.0188679245283
"cycle","7","Chain 17",NA
"stratum","7","Chain 17",NA
"psu","7","Chain 17",NA
"logweight","7","Chain 17",NA
"ra","8","Chain 17",NA
"asthma_aux","8","Chain 17",NA
"age1","8","Chain 17",NA
"age2","8","Chain 17",NA
"age3","8","Chain 17",NA
"sex","8","Chain 17",NA
"race","8","Chain 17",NA
"education","8","Chain 17",1
"pir","8","Chain 17",0.772219131179124
"smoke","8","Chain 17",1
"cycle","8","Chain 17",NA
"stratum","8","Chain 17",NA
"psu","8","Chain 17",NA
"logweight","8","Chain 17",NA
"ra","9","Chain 17",NA
"asthma_aux","9","Chain 17",NA
"age1","9","Chain 17",NA
"age2","9","Chain 17",NA
"age3","9","Chain 17",NA
"sex","9","Chain 17",NA
"race","9","Chain 17",NA
"education","9","Chain 17",5
"pir","9","Chain 17",4.79285255724374
"smoke","9","Chain 17",1.73584905660377
"cycle","9","Chain 17",NA
"stratum","9","Chain 17",NA
"psu","9","Chain 17",NA
"logweight","9","Chain 17",NA
"ra","10","Chain 17",NA
"asthma_aux","10","Chain 17",NA
"age1","10","Chain 17",NA
"age2","10","Chain 17",NA
"age3","10","Chain 17",NA
"sex","10","Chain 17",NA
"race","10","Chain 17",NA
"education","10","Chain 17",2.16279069767442
"pir","10","Chain 17",0.777725230044948
"smoke","10","Chain 17",1
"cycle","10","Chain 17",NA
"stratum","10","Chain 17",NA
"psu","10","Chain 17",NA
"logweight","10","Chain 17",NA
"ra","1","Chain 18",NA
"asthma_aux","1","Chain 18",NA
"age1","1","Chain 18",NA
"age2","1","Chain 18",NA
"age3","1","Chain 18",NA
"sex","1","Chain 18",NA
"race","1","Chain 18",NA
"education","1","Chain 18",1
"pir","1","Chain 18",4.80205435480419
"smoke","1","Chain 18",1
"cycle","1","Chain 18",NA
"stratum","1","Chain 18",NA
"psu","1","Chain 18",NA
"logweight","1","Chain 18",NA
"ra","2","Chain 18",NA
"asthma_aux","2","Chain 18",NA
"age1","2","Chain 18",NA
"age2","2","Chain 18",NA
"age3","2","Chain 18",NA
"sex","2","Chain 18",NA
"race","2","Chain 18",NA
"education","2","Chain 18",1.88372093023256
"pir","2","Chain 18",4.71526856409159
"smoke","2","Chain 18",1.79245283018868
"cycle","2","Chain 18",NA
"stratum","2","Chain 18",NA
"psu","2","Chain 18",NA
"logweight","2","Chain 18",NA
"ra","3","Chain 18",NA
"asthma_aux","3","Chain 18",NA
"age1","3","Chain 18",NA
"age2","3","Chain 18",NA
"age3","3","Chain 18",NA
"sex","3","Chain 18",NA
"race","3","Chain 18",NA
"education","3","Chain 18",2.13953488372093
"pir","3","Chain 18",0.776787930665536
"smoke","3","Chain 18",1.9622641509434
"cycle","3","Chain 18",NA
"stratum","3","Chain 18",NA
"psu","3","Chain 18",NA
"logweight","3","Chain 18",NA
"ra","4","Chain 18",NA
"asthma_aux","4","Chain 18",NA
"age1","4","Chain 18",NA
"age2","4","Chain 18",NA
"age3","4","Chain 18",NA
"sex","4","Chain 18",NA
"race","4","Chain 18",NA
"education","4","Chain 18",5
"pir","4","Chain 18",0.778125401241181
"smoke","4","Chain 18",1
"cycle","4","Chain 18",NA
"stratum","4","Chain 18",NA
"psu","4","Chain 18",NA
"logweight","4","Chain 18",NA
"ra","5","Chain 18",NA
"asthma_aux","5","Chain 18",NA
"age1","5","Chain 18",NA
"age2","5","Chain 18",NA
"age3","5","Chain 18",NA
"sex","5","Chain 18",NA
"race","5","Chain 18",NA
"education","5","Chain 18",1
"pir","5","Chain 18",4.79991440188316
"smoke","5","Chain 18",1.79245283018868
"cycle","5","Chain 18",NA
"stratum","5","Chain 18",NA
"psu","5","Chain 18",NA
"logweight","5","Chain 18",NA
"ra","6","Chain 18",NA
"asthma_aux","6","Chain 18",NA
"age1","6","Chain 18",NA
"age2","6","Chain 18",NA
"age3","6","Chain 18",NA
"sex","6","Chain 18",NA
"race","6","Chain 18",NA
"education","6","Chain 18",2.31395348837209
"pir","6","Chain 18",4.79563449604109
"smoke","6","Chain 18",1.81132075471698
"cycle","6","Chain 18",NA
"stratum","6","Chain 18",NA
"psu","6","Chain 18",NA
"logweight","6","Chain 18",NA
"ra","7","Chain 18",NA
"asthma_aux","7","Chain 18",NA
"age1","7","Chain 18",NA
"age2","7","Chain 18",NA
"age3","7","Chain 18",NA
"sex","7","Chain 18",NA
"race","7","Chain 18",NA
"education","7","Chain 18",2.86046511627907
"pir","7","Chain 18",0.778181040017127
"smoke","7","Chain 18",1
"cycle","7","Chain 18",NA
"stratum","7","Chain 18",NA
"psu","7","Chain 18",NA
"logweight","7","Chain 18",NA
"ra","8","Chain 18",NA
"asthma_aux","8","Chain 18",NA
"age1","8","Chain 18",NA
"age2","8","Chain 18",NA
"age3","8","Chain 18",NA
"sex","8","Chain 18",NA
"race","8","Chain 18",NA
"education","8","Chain 18",5
"pir","8","Chain 18",4.79477851487267
"smoke","8","Chain 18",1
"cycle","8","Chain 18",NA
"stratum","8","Chain 18",NA
"psu","8","Chain 18",NA
"logweight","8","Chain 18",NA
"ra","9","Chain 18",NA
"asthma_aux","9","Chain 18",NA
"age1","9","Chain 18",NA
"age2","9","Chain 18",NA
"age3","9","Chain 18",NA
"sex","9","Chain 18",NA
"race","9","Chain 18",NA
"education","9","Chain 18",2.03488372093023
"pir","9","Chain 18",4.79734645837792
"smoke","9","Chain 18",1.79245283018868
"cycle","9","Chain 18",NA
"stratum","9","Chain 18",NA
"psu","9","Chain 18",NA
"logweight","9","Chain 18",NA
"ra","10","Chain 18",NA
"asthma_aux","10","Chain 18",NA
"age1","10","Chain 18",NA
"age2","10","Chain 18",NA
"age3","10","Chain 18",NA
"sex","10","Chain 18",NA
"race","10","Chain 18",NA
"education","10","Chain 18",2.11627906976744
"pir","10","Chain 18",4.80483629360154
"smoke","10","Chain 18",1.73584905660377
"cycle","10","Chain 18",NA
"stratum","10","Chain 18",NA
"psu","10","Chain 18",NA
"logweight","10","Chain 18",NA
"ra","1","Chain 19",NA
"asthma_aux","1","Chain 19",NA
"age1","1","Chain 19",NA
"age2","1","Chain 19",NA
"age3","1","Chain 19",NA
"sex","1","Chain 19",NA
"race","1","Chain 19",NA
"education","1","Chain 19",5
"pir","1","Chain 19",1.8549668307297
"smoke","1","Chain 19",1
"cycle","1","Chain 19",NA
"stratum","1","Chain 19",NA
"psu","1","Chain 19",NA
"logweight","1","Chain 19",NA
"ra","2","Chain 19",NA
"asthma_aux","2","Chain 19",NA
"age1","2","Chain 19",NA
"age2","2","Chain 19",NA
"age3","2","Chain 19",NA
"sex","2","Chain 19",NA
"race","2","Chain 19",NA
"education","2","Chain 19",1.27906976744186
"pir","2","Chain 19",0.779111919537779
"smoke","2","Chain 19",1
"cycle","2","Chain 19",NA
"stratum","2","Chain 19",NA
"psu","2","Chain 19",NA
"logweight","2","Chain 19",NA
"ra","3","Chain 19",NA
"asthma_aux","3","Chain 19",NA
"age1","3","Chain 19",NA
"age2","3","Chain 19",NA
"age3","3","Chain 19",NA
"sex","3","Chain 19",NA
"race","3","Chain 19",NA
"education","3","Chain 19",5
"pir","3","Chain 19",0.769509950781093
"smoke","3","Chain 19",1
"cycle","3","Chain 19",NA
"stratum","3","Chain 19",NA
"psu","3","Chain 19",NA
"logweight","3","Chain 19",NA
"ra","4","Chain 19",NA
"asthma_aux","4","Chain 19",NA
"age1","4","Chain 19",NA
"age2","4","Chain 19",NA
"age3","4","Chain 19",NA
"sex","4","Chain 19",NA
"race","4","Chain 19",NA
"education","4","Chain 19",1
"pir","4","Chain 19",0.778114701476577
"smoke","4","Chain 19",1.90566037735849
"cycle","4","Chain 19",NA
"stratum","4","Chain 19",NA
"psu","4","Chain 19",NA
"logweight","4","Chain 19",NA
"ra","5","Chain 19",NA
"asthma_aux","5","Chain 19",NA
"age1","5","Chain 19",NA
"age2","5","Chain 19",NA
"age3","5","Chain 19",NA
"sex","5","Chain 19",NA
"race","5","Chain 19",NA
"education","5","Chain 19",5
"pir","5","Chain 19",0.766205863471013
"smoke","5","Chain 19",1
"cycle","5","Chain 19",NA
"stratum","5","Chain 19",NA
"psu","5","Chain 19",NA
"logweight","5","Chain 19",NA
"ra","6","Chain 19",NA
"asthma_aux","6","Chain 19",NA
"age1","6","Chain 19",NA
"age2","6","Chain 19",NA
"age3","6","Chain 19",NA
"sex","6","Chain 19",NA
"race","6","Chain 19",NA
"education","6","Chain 19",1
"pir","6","Chain 19",0.765046008987812
