analysis,cycle,ra,outcome,variable,n,missing_n,missing_pct,weighted_missing_pct
ever20,2013,0,0,pir,4373,359,8.209467184998855,6.904461259511601
ever20,2013,0,0,smoke,4373,1,0.0228675966155957,0.017468455524347525
ever20,2013,0,1,age,723,0,0.0,0.0
ever20,2013,0,1,sex,723,0,0.0,0.0
ever20,2013,0,1,race,723,0,0.0,0.0
ever20,2013,0,1,education,723,2,0.2766251728907331,0.1402611280275266
ever20,2013,0,1,pir,723,47,6.500691562932228,6.028992263809922
ever20,2013,0,1,smoke,723,0,0.0,0.0
ever20,2013,1,0,age,198,0,0.0,0.0
ever20,2013,1,0,sex,198,0,0.0,0.0
ever20,2013,1,0,race,198,0,0.0,0.0
ever20,2013,1,0,education,198,0,0.0,0.0
ever20,2013,1,0,pir,198,12,6.0606060606060606,6.046399596427603
ever20,2013,1,0,smoke,198,1,0.5050505050505051,0.15665377123931803
ever20,2013,1,1,age,56,0,0.0,0.0
ever20,2013,1,1,sex,56,0,0.0,0.0
ever20,2013,1,1,race,56,0,0.0,0.0
ever20,2013,1,1,education,56,0,0.0,0.0
ever20,2013,1,1,pir,56,0,0.0,0.0
ever20,2013,1,1,smoke,56,0,0.0,0.0
ever20,2015,0,0,age,4322,0,0.0,0.0
ever20,2015,0,0,sex,4322,0,0.0,0.0
ever20,2015,0,0,race,4322,0,0.0,0.0
ever20,2015,0,0,education,4322,2,0.04627487274409996,0.011071009542996679
ever20,2015,0,0,pir,4322,469,10.851457658491439,8.30975585892504
ever20,2015,0,0,smoke,4322,6,0.13882461823229986,0.10278329408877636
ever20,2015,0,1,age,690,0,0.0,0.0
ever20,2015,0,1,sex,690,0,0.0,0.0
ever20,2015,0,1,race,690,0,0.0,0.0
ever20,2015,0,1,education,690,1,0.14492753623188406,0.0410905035471099
ever20,2015,0,1,pir,690,70,10.144927536231885,8.404087387743335
ever20,2015,0,1,smoke,690,2,0.2898550724637681,0.11321838039567754
ever20,2015,1,0,age,227,0,0.0,0.0
ever20,2015,1,0,sex,227,0,0.0,0.0
ever20,2015,1,0,race,227,0,0.0,0.0
ever20,2015,1,0,education,227,0,0.0,0.0
ever20,2015,1,0,pir,227,28,12.334801762114537,10.046492223843368
ever20,2015,1,0,smoke,227,0,0.0,0.0
ever20,2015,1,1,age,65,0,0.0,0.0
ever20,2015,1,1,sex,65,0,0.0,0.0
ever20,2015,1,1,race,65,0,0.0,0.0
ever20,2015,1,1,education,65,0,0.0,0.0
ever20,2015,1,1,pir,65,9,13.846153846153847,12.478866611157814
ever20,2015,1,1,smoke,65,1,1.5384615384615385,1.1610374005675281
ever20,2017,0,0,age,4096,0,0.0,0.0
ever20,2017,0,0,sex,4096,0,0.0,0.0
ever20,2017,0,0,race,4096,0,0.0,0.0
ever20,2017,0,0,education,4096,8,0.1953125,0.13490279487100884
ever20,2017,0,0,pir,4096,568,13.8671875,11.749480407164905
ever20,2017,0,0,smoke,4096,0,0.0,0.0
ever20,2017,0,1,age,670,0,0.0,0.0
ever20,2017,0,1,sex,670,0,0.0,0.0
ever20,2017,0,1,race,670,0,0.0,0.0
ever20,2017,0,1,education,670,1,0.1492537313432836,0.03253260425594537
ever20,2017,0,1,pir,670,73,10.895522388059701,8.906645321534516
ever20,2017,0,1,smoke,670,0,0.0,0.0
ever20,2017,1,0,age,255,0,0.0,0.0
ever20,2017,1,0,sex,255,0,0.0,0.0
ever20,2017,1,0,race,255,0,0.0,0.0
ever20,2017,1,0,education,255,0,0.0,0.0
ever20,2017,1,0,pir,255,39,15.294117647058824,13.041059996013011
ever20,2017,1,0,smoke,255,0,0.0,0.0
ever20,2017,1,1,age,82,0,0.0,0.0
ever20,2017,1,1,sex,82,0,0.0,0.0
ever20,2017,1,1,race,82,0,0.0,0.0
ever20,2017,1,1,education,82,1,1.2195121951219512,0.6517634914735246
ever20,2017,1,1,pir,82,12,14.634146341463413,12.953523503262975
ever20,2017,1,1,smoke,82,0,0.0,0.0
